Average Diversity;Average Brightness;Average Contrast;Average Entropy;Max Diversity;Min Diversity;Max Brightness;Min Brightness;Max Contrast;Min Contrast;Max Entropy;Min Entropy;Scalar Averange Pooling;Average sobel;Average edge;Average texture;Averange Color;Averange exposure value;B_hist;B_mean;B_std;G_hist;G_mean;G_std;R_hist;R_mean;R_std;H_hist;H_mean;H_std;S_hist;S_mean;S_std;V_hist;V_mean;V_std;Average BBox Width;Average BBox Height;Min BBox Width;Min BBox Height;Max BBox Width;Max BBox Height;Average Aspect Ratio;Average Objects Per Image;Average Overlap;W;H;Class Imbalance Gini;Class Imbalance Ratio;Number of images;Number of classes;Dataset
9983.273714285715;70.10378526289682;46.560040464251685;8.800920627287852;10000;180;111.21752507716049;32.90359857253087;74.75062027976406;17.31938377892993;9.373536225411733;7.46218521565986;0.08261735735673989;0.0005870254999252487;0.001216500444292324;-3.292111628123692;69.44609523809524;7.183282;0.004092196140363791;69.61674994722773;48.32925679258791;0.004227378747344447;70.29067527075067;47.049732066391975;0.004288711746688544;69.92312327380952;47.944256561131276;0.008963777642789114;0.4029971957206726;0.2511632311932126;0.005421628678082618;0.24168159067630768;0.18891791559613447;0.062324998933769846;0.3109608590602875;0.19752795785421626;0.13584102113207547;0.2301216708595388;0.022396;0.051852;0.366146;0.618519;0.6648670602021058;3.41104118993135;0.08403576409320365;1920;1080;0.94;4.461215932914046;3500;28;WARP-D
9840.316929133858;116.49903923884514;44.78164014051249;8.108665403075575;10000;2348;200.24585208333335;57.28205416666667;76.47732014129663;9.551944120548436;9.404448177469744;5.1245840538010565;0.11235013064437026;-8.8948687961566e-05;7.187953607654446e-05;-5.2571035801895025;111.21062992125984;6.5346575;0.0076940681113573635;97.2034732242454;43.32732109291052;0.007400803284437358;119.02805600803806;44.61932765581584;0.007273181272278686;118.89419423392388;47.67315634511157;0.016799843234669647;0.27514776587486267;0.16989389790176407;0.008240132861021484;0.27135375142097473;0.11971230328378475;0.061080785499396294;0.4920334219932556;0.17963557844232392;0.1782274239230156;0.2429030567924182;0.00125;0.0016666666666666668;0.86875;0.86;1.510532691817393;21.62162162162162;0.18046869725891213;800;600;0.64;2.11875;508;5;Aerial-martime
10000.0;110.75518505828934;49.40018466307652;9.115643606072783;10000;10000;178.80691528320312;71.59408569335938;67.7375042616384;40.26274877067612;9.415612685952894;8.818030863638821;0.11426591276286398;0.001879731807118725;-0.002196119423157095;-5.258069297024734;111.1463009143807;7.4888597;0.0026150697679538258;113.48960379888292;57.04231263251135;0.0030512466889740892;109.75010736327516;50.11189630209198;0.0032334200130256403;111.68277877465151;47.55518028676231;0.008291188799199203;0.4697068929672241;0.26469304602804117;0.005550530369548411;0.21579736471176147;0.20519693987817034;0.06223649953323138;0.48362743854522705;0.19984760939114957;0.18556377268411056;0.20380338019624394;0.0234375;0.02734375;0.73828125;0.7265625;1.1704697897319325;11.391826923076923;0.07236253501592724;256;256;0.85;1.276218611521418;802;7;Food
9989.461850350166;133.9146762581053;50.53745837381611;8.441209342532085;10000;255;240.94605792344674;27.682391826923077;107.17958580796383;16.785461526775748;9.522718269314442;4.036227365715644;0.12973701476932692;-0.00014177477039634606;9.032053366334746e-05;-6.069835740176242;128.46873080230986;6.867512;0.00821302331167359;117.28322790389002;55.89930392896339;0.007585764491545307;138.64786426620557;51.11696101531355;0.0076918965798034485;130.98711450664467;53.39464478635702;0.013210711961825218;0.3548687696456909;0.148726578175255;0.009568018583973121;0.3908528685569763;0.21099754385073197;0.060263949286083286;0.6078506708145142;0.1978692787063178;0.3190127122714566;0.3715663932524575;0.01;0.006968641114982578;0.9993872549019607;0.9995318352059925;0.9561802670701444;3.321613619541081;0.07583113804807402;416;416;0.95;2.781058495821727;2714;30;Plantdoc
9690.365671641792;171.65547401065518;70.64458151038228;6.165348198763618;10000;256;252.84179178873697;13.088204701741537;116.75240347830174;14.209206224991183;9.21644967326257;2.043150878411077;0.16722744794895103;0.0015315437226900432;-0.00011415686932555014;-8.110165971922834;171.82835820895522;4.594355;0.026375727869582647;175.16276890853285;70.87438758454029;0.026007622748084637;171.81488533821337;71.54813374832342;0.026203534294859186;169.99897173032238;75.31080826568257;0.03432960771719335;0.24167563021183014;0.24358060704487064;0.032927085801930205;0.20538921654224396;0.2434099394979366;0.05061430858873796;0.7323476672172546;0.25372449922915163;0.16766681989532417;0.06262820291124843;0.0;0.0;1.0;1.0;4.238980444774066;89.90878938640132;0.35686612299110965;1024;768;0.77;2.44301392603523;2412;8;Website Screenshoot
9999.320554123711;118.98756683605234;45.01020206661428;8.849098612711671;10000;7118;222.3288671875;54.36916748046875;86.41980826032734;15.219390278057553;9.429801953741478;7.429943278954182;0.11822128515759875;-0.0007421813060063295;0.0031043415276432616;-5.488629781247414;116.12596649484536;7.2313848;0.003853855914808893;109.95776620510927;48.19213107599321;0.00407162758111979;120.51395791004613;44.46939096390008;0.003929077915143789;119.41088844122346;46.295287637764744;0.009525012459821602;0.2693750858306885;0.19594853695096034;0.007376125144668197;0.1562749594449997;0.14851340232084415;0.06189714609420738;0.48531806468963623;0.17548062112701066;0.05264176936768109;0.0804491248054382;0.025;0.0515625;0.1453125;0.20703125;0.6486340164294482;58.62757371108549;0.07449388391924776;640;640;0.50;1.0567333842799667;12416;2;Pklot Dataset
3859.85201793722;100.22305294019758;57.5205836973328;8.401775236237764;10000;2464;206.20293212890624;46.88365966796875;81.26926539459875;35.790284749236136;9.219230932995433;5.56421507467283;0.1049823404076789;0.013376907462195699;-0.00042959977611088006;-4.667792306352624;98.65470852017937;6.81822;0.008552360819762359;97.30990242038608;57.96410857049675;0.008583505391806608;101.76509861967487;57.42063821848551;0.008561680102925165;98.30969429871426;58.657526853611955;0.053188324755636715;0.05600518733263016;0.04695112013801963;0.052845185603969454;0.05299460515379906;0.07894227297613109;0.059546655713928566;0.40211156010627747;0.22778797087874997;0.18984697830578512;0.20294421487603304;0.03203125;0.06796875;0.8296875;0.91640625;0.9921266848633902;1.6575342465753424;0;640;640;0.81;2.049586776859504;223;8;Animals
254.0595399188092;110.37266866516195;56.28926307057665;8.83346105928058;256;191;155.9935791015625;31.78619140625;87.7812335011136;29.72883617643492;9.481539126800042;7.532699811167766;0.11497183420338715;-0.0005406645524935274;-0.00010866365141809125;-5.194045872262431;109.86062246278755;7.244895;0.005065953737726035;110.37266866516195;56.28933178318181;0.005065953737726035;110.37266866516195;56.28933178318181;0.005065953737726035;110.37266866516195;56.28933178318181;0.06237781024480981;0.0;0.0;0.06237781024480981;0.0;0.0;0.06229934603343289;0.43283402919769287;0.2207424822658541;0.00792858751652165;0.019128288994857127;0.0015625;0.00625;0.02898801349365332;0.058633322794389285;0.4114400667410712;20.615384615384617;0.08101631186288033;640;640;0.94;2.574626865671642;2217;23;GRZ Dataset
244.6157894736842;214.5217853686347;39.78840748054801;4.5545469542737695;256;132;254.95977352941176;106.89083333333333;89.1812938282294;2.82148522765608;8.952764483855416;1.5950828776125927;0.1910973111069516;-6.064829979979711e-05;0.00040938516948188795;-10.095439037523771;214.0157894736842;2.9662523;0.03890227611240702;214.5217853686347;39.788443415565325;0.03890227611240702;214.5217853686347;39.788443415565325;0.03890227611240702;214.5217853686347;39.788443415565325;0.0623778102448098;0.0;0.0;0.0623778102448098;0.0;0.0;0.05743151650697172;0.8412618637084961;0.1560331117597669;0.10302266181875532;0.038135007246641046;0.00013529411764706952;0.0005301410859341638;0.9361979166666666;0.9996428571428569;3.209914943415063;32.96825396825397;0.017681356535993738;1700;2200;0.09;3.80259990370727;380;4;Latex
7225.289634146341;189.43280149878527;41.55880847442774;8.263528330301847;10000;232;231.88778564453125;99.89495849609375;61.1270965890987;21.65798782198616;9.023465658833173;6.360016177252071;0.17760193127025736;0.0006085712492080331;-0.00020672877879070488;-8.907023937236971;188.7693089430894;6.6468906;0.007038253886138958;188.18320932527865;43.0640675107816;0.007001674604890161;189.11427724698694;42.2114590746;0.006579167721166908;190.51971579947121;42.06107716029688;0.025542811868103914;0.285391241312027;0.17563542493105172;0.025398925617353973;0.08029314130544662;0.07531451083072166;0.06043482878700951;0.7711426019668579;0.15929348353220296;0.24916427270179375;0.03680177970852018;0.0078125;0.00390625;1.0;0.12421875;6.919481954075303;13.597560975609756;0.032032600783386635;640;640;0.93;1.0327354260089687;328;14;Passports
